0.1112,0.2003,0.0891,0.1273,0.295,0.1678,0.0797,0.2716,0.1919,0.096,0.2974,0.2014,0.1033,0.2718,0.1685,0.0788,0.1748,0.096,0.0961,0.264,0.168,0.0959,0.2015,0.1055,0.0872
0.104,0.2081,0.104,0.08,0.2399,0.16,0.088,0.3218,0.2338,0.1031,0.3587,0.2557,0.0798,0.2331,0.1533,0.0944,0.1915,0.0972,0.0876,0.2477,0.1601,0.0637,0.1684,0.1047,0.063
0.1119,0.184,0.0721,0.0884,0.257,0.1686,0.079,0.2562,0.1772,0.1035,0.344,0.2405,0.0948,0.2719,0.1771,0.0869,0.1836,0.0967,0.0876,0.216,0.1284,0.0719,0.1766,0.1047,0.0792
0.0952,0.1969,0.1017,0.0989,0.2356,0.1367,0.1137,0.3313,0.2176,0.0971,0.3668,0.2697,0.1031,0.1702,0.0671,0.0836,0.2033,0.1197,0.0992,0.2764,0.1771,0.0768,0.173,0.0962,0.0797
0.0978,0.1773,0.0795,0.0971,0.2426,0.1454,0.0928,0.3525,0.2597,0.1002,0.3842,0.284,0.0931,0.2868,0.1937,0.0792,0.2687,0.1895,0.0981,0.208,0.1098,0.0718,0.1649,0.0931,0.09
0.1076,0.175,0.0674,0.1039,0.2516,0.1477,0.1103,0.3448,0.2345,0.1142,0.3639,0.2498,0.1074,0.2767,0.1692,0.0877,0.1961,0.1085,0.1015,0.2362,0.1348,0.0846,0.1958,0.1112,0.091
0.113,0.2168,0.1038,0.1046,0.272,0.1674,0.125,0.3232,0.1982,0.1278,0.3765,0.2487,0.1002,0.2886,0.1884,0.0944,0.1944,0.1,0.0786,0.2524,0.1738,0.0821,0.197,0.115,0.0809
0.1038,0.1721,0.0684,0.0949,0.2357,0.1409,0.1383,0.4599,0.3216,0.1313,0.3728,0.2415,0.1258,0.3938,0.268,0.0783,0.2027,0.1245,0.1066,0.2116,0.105,0.0532,0.1759,0.1227,0.1025
0.0791,0.1515,0.0724,0.0875,0.2566,0.1691,0.071,0.2787,0.2077,0.1043,0.3359,0.2316,0.12,0.216,0.096,0.072,0.1921,0.1201,0.0885,0.2,0.1115,0.0802,0.1762,0.096,0.0719
0.0955,0.1682,0.0727,0.0949,0.256,0.1611,0.0954,0.304,0.2086,0.087,0.3988,0.3119,0.1282,0.297,0.1688,0.0711,0.1835,0.1124,0.0716,0.2486,0.1771,0.0789,0.1827,0.1039,0.0798
0.0955,0.1518,0.0563,0.0871,0.2476,0.1605,0.0957,0.3205,0.2248,0.0956,0.3518,0.2562,0.1195,0.2885,0.169,0.0786,0.2079,0.1293,0.0709,0.2071,0.1362,0.0719,0.1846,0.1127,0.0714
0.0869,0.1922,0.1053,0.1111,0.2703,0.1592,0.1361,0.4161,0.28,0.112,0.4249,0.3129,0.1115,0.2881,0.1765,0.0951,0.216,0.1208,0.055,0.1921,0.1372,0.0792,0.1831,0.104,0.0882
0.0794,0.1829,0.1034,0.1046,0.265,0.1604,0.0953,0.336,0.2407,0.1036,0.3351,0.2315,0.1036,0.2798,0.1762,0.0799,0.1839,0.1041,0.0802,0.1532,0.0731,0.0792,0.2003,0.1212,0.0789
